start,end,count,reverse
SJSU 4th at San Carlos,San Pedro Square,21,18
Embarcadero at Sansome,San Francisco City Hall,15,30
California Ave Caltrain Station,Rengstorff at California,4,6
Embarcadero at Vallejo,Powell at Post (Union Square),53,46
3rd at Howard,SF Caltrain at 330 Townsend,226,109
Post at Kearney,Powell Street BART,71,56
South Van Ness at Market,Embarcadero at Vallejo,28,36
San Jose Government Center,San Jose City Hall,3,1
2nd at South Park,7th at Market,31,81
Clay at Battery,San Francisco City Hall,17,5
SF Ferry Building,5th at Howard,92,82
San Antonio Shopping Center,University and Emerson,2,3
California Ave Caltrain Station,Market at Sansome,1,0
Market at 4th,Townsend at 7th,205,147
3rd at Howard,Washington at Kearney,30,28
Embarcadero at Vallejo,Clay at Battery,32,43
MLK Library,Santa Clara at Almaden,14,7
5th at Howard,7th at Market,95,74
5th at Howard,2nd at Townsend,24,38
St James Park,Arena Green / SAP Center,4,5
San Pedro Square,MLK Library,48,33
Embarcadero at Folsom,Commercial at Montgomery,46,58
Clay at Battery,Townsend at 7th,40,19
Howard at Beale,Powell at Post (Union Square),34,34
Powell at Post (Union Square),Howard at 2nd,212,71
2nd at Folsom,Townsend at 7th,97,50
Commercial at Montgomery,Washington at Kearney,31,13
MLK Library,San Jose Government Center,1,0
SJSU 4th at San Carlos,SJ Diridon Caltrain,20,36
3rd at Howard,SF Ferry Building,94,75
5th at Howard,Market at 10th,127,89
Cowper at University,Mountain View Caltrain,2,2
Post at Kearney,Clay at Battery,40,42
Grant at Columbus,"SF Caltrain, Townsend at 4th ",313,158
San Pedro Square,San Pedro Square,61,61
Market at Sansome,5th at Howard,140,136
2nd at Folsom,Powell Street BART,118,109
Davis at Jackson,Post at Kearney,43,41
Commercial at Montgomery,5th at Howard,63,68
Townsend at 7th,Townsend at 7th,125,125
2nd at Folsom,Howard at Beale,110,81
SJSU - San Salvador at 9th,SJ Diridon Caltrain,105,0
South Van Ness at Market,Spear at Folsom,62,34
Washington at Kearney,Townsend at 7th,18,17
Spear at Folsom,Spear at Folsom,102,102
Townsend at 7th,Grant at Columbus,15,49
Franklin at Maple,Redwood City Caltrain Station,50,56
University and Emerson,Redwood City Caltrain Station,1,0
South Van Ness at Market,Market at 10th,97,88
San Mateo County Center,Redwood City Public Library,8,9
Washington at Kearney,Spear at Folsom,23,50
SF Ferry Building,Townsend at 7th,230,274
2nd at Townsend,Market at Battery,99,67
Mountain View Caltrain,Mountain View City Hall,592,494
Spear at Folsom,Townsend at 7th,89,53
Washington at Kearney,Steuart at Market,48,33
Commercial at Montgomery,Market at Sansome,247,214
Santa Clara at Almaden,Arena Green / SAP Center,118,113
Embarcadero at Bryant,5th at Howard,31,19
Redwood City Medical Center,Broadway at Main,6,5
Adobe on Almaden,Arena Green / SAP Center,8,9
Clay at Battery,Broadway St at Battery St,5,10
San Francisco City Hall,Powell at Post (Union Square),37,31
San Antonio Caltrain Station,Mountain View Caltrain,21,41
San Salvador at 1st,SJSU - San Salvador at 9th,36,0
Powell at Post (Union Square),Powell Street BART,57,36
Market at 4th,Washington at Kearney,84,46
Spear at Folsom,Golden Gate at Polk,15,11
Embarcadero at Vallejo,2nd at South Park,122,123
Market at Sansome,Grant at Columbus,224,492
Beale at Market,Beale at Market,72,72
Franklin at Maple,Redwood City Public Library,8,7
7th at Market,2nd at Townsend,26,21
SF Caltrain at 330 Townsend,Embarcadero at Bryant,38,140
2nd at South Park,Spear at Folsom,130,156
7th at Market,Clay at Battery,77,68
Mountain View Caltrain,Park at Olive,4,3
Howard at 2nd,Powell at Post (Union Square),71,212
South Van Ness at Market,7th at Market,389,367
Cowper at University,Redwood City Public Library,1,2
Townsend at 7th,Davis at Jackson,14,19
Adobe on Almaden,Adobe on Almaden,31,31
Commercial at Montgomery,Golden Gate at Polk,13,26
San Francisco City Hall,Washington at Kearney,9,15
San Antonio Caltrain Station,San Antonio Caltrain Station,33,33
Market at Sansome,Post at Kearney,15,25
"SF Caltrain, Townsend at 4th ",SJ Diridon Caltrain,1,0
San Pedro Square,San Jose City Hall,32,35
Broadway St at Battery St,Powell Street BART,2,5
Paseo de San Antonio,San Salvador at 1st,68,42
Embarcadero at Sansome,3rd at Howard,87,58
2nd at South Park,Market at Battery,51,41
Rengstorff at California,Mountain View Caltrain,90,94
Rengstorff at California,University and Emerson,5,2
Howard at Beale,Spear at Folsom,101,66
SF Caltrain at 330 Townsend,Washington at Kearney,46,51
SF Ferry Building,Embarcadero at Vallejo,332,214
Embarcadero at Folsom,Embarcadero at Folsom,111,111
Commercial at Montgomery,Steuart at Market,33,23
SF Caltrain at 330 Townsend,South Van Ness at Market,134,71
Market at 4th,3rd at Howard,31,22
Embarcadero at Bryant,Embarcadero at Sansome,329,177
Steuart at Market,SF Caltrain at 330 Townsend,328,168
Castro Street and El Camino Real,Mountain View Caltrain,95,100
5th at Howard,Embarcadero at Folsom,28,41
Paseo de San Antonio,San Jose City Hall,34,56
Arena Green / SAP Center,Arena Green / SAP Center,66,66
5th at Howard,Market at Battery,52,66
Embarcadero at Bryant,Spear at Folsom,112,80
"SF Caltrain, Townsend at 4th ",Clay at Battery,211,193
Market at Sansome,San Francisco City Hall,49,56
Beale at Market,Commercial at Montgomery,146,142
Market at 10th,"SF Caltrain, Townsend at 4th ",401,156
Golden Gate at Polk,Embarcadero at Folsom,13,8
San Salvador at 1st,Paseo de San Antonio,42,68
Golden Gate at Polk,Embarcadero at Vallejo,80,18
Washington at Kearney,Embarcadero at Bryant,44,36
Beale at Market,SF Ferry Building,123,55
San Salvador at 1st,MLK Library,190,34
Spear at Folsom,Grant at Columbus,66,123
Post at Kearney,Golden Gate at Polk,58,73
2nd at South Park,2nd at South Park,146,146
2nd at Townsend,Broadway St at Battery St,2,5
South Van Ness at Market,3rd at Howard,49,61
Market at Battery,Davis at Jackson,110,72
SJSU 4th at San Carlos,Paseo de San Antonio,23,23
San Francisco City Hall,"SF Caltrain, Townsend at 4th ",131,92
Paseo de San Antonio,Paseo de San Antonio,41,41
Commercial at Montgomery,San Francisco City Hall,12,17
SJSU 4th at San Carlos,SJSU - San Salvador at 9th,81,0
Market at Battery,Commercial at Montgomery,108,85
San Francisco City Hall,Clay at Battery,5,17
Townsend at 7th,Beale at Market,117,97
San Francisco City Hall,Commercial at Montgomery,17,12
Embarcadero at Sansome,7th at Market,133,148
Embarcadero at Folsom,Embarcadero at Sansome,247,204
Park at Olive,Palo Alto Caltrain Station,43,69
Embarcadero at Bryant,Townsend at 7th,142,65
Market at 4th,Paseo de San Antonio,1,1
San Francisco City Hall,5th at Howard,18,15
San Jose Civic Center,San Pedro Square,26,33
Japantown,San Jose Civic Center,17,9
Evelyn Park and Ride,Mountain View Caltrain,154,159
Golden Gate at Polk,7th at Market,103,116
Palo Alto Caltrain Station,University and Emerson,25,13
5th at Howard,SF Caltrain at 330 Townsend,129,484
Commercial at Montgomery,Market at Battery,85,108
Washington at Kearney,Embarcadero at Vallejo,29,16
Howard at Beale,2nd at Folsom,81,110
Washington at Kearney,Davis at Jackson,24,20
5th at Howard,Steuart at Market,84,42
San Francisco City Hall,Townsend at 7th,119,33
2nd at South Park,Post at Kearney,154,139
Santa Clara at Almaden,Japantown,7,48
Clay at Battery,7th at Market,68,77
2nd at Townsend,2nd at Folsom,173,219
Redwood City Medical Center,Redwood City Public Library,6,2
Embarcadero at Sansome,5th at Howard,58,56
Spear at Folsom,5th at Howard,138,105
Commercial at Montgomery,Grant at Columbus,66,66
Embarcadero at Vallejo,South Van Ness at Market,36,28
San Jose City Hall,San Jose Civic Center,24,18
7th at Market,Steuart at Market,77,59
Embarcadero at Vallejo,Market at 10th,25,31
Market at Sansome,3rd at Howard,93,142
Spear at Folsom,Broadway St at Battery St,26,30
SF Ferry Building,Powell at Post (Union Square),152,153
Market at 10th,Clay at Battery,25,43
Townsend at 7th,7th at Market,360,345
Golden Gate at Polk,South Van Ness at Market,100,71
SF Ferry Building,Beale at Market,55,123
SF Ferry Building,SF Caltrain at 330 Townsend,307,234
Howard at Beale,Market at 4th,186,142
SJ Diridon Caltrain,San Jose City Hall,139,132
Franklin at Maple,Broadway at Main,10,6
Broadway St at Battery St,Commercial at Montgomery,2,1
Market at 4th,SF Ferry Building,319,261
Embarcadero at Vallejo,2nd at Folsom,14,20
Japantown,SJSU 4th at San Carlos,18,20
Market at Sansome,2nd at Townsend,233,258
Paseo de San Antonio,San Jose Civic Center,21,12
2nd at Townsend,Beale at Market,123,222
Mountain View City Hall,Mountain View Caltrain,494,592
"SF Caltrain, Townsend at 4th ",2nd at Townsend,306,266
San Jose Government Center,Arena Green / SAP Center,1,4
Powell at Post (Union Square),2nd at Townsend,42,53
Post at Kearney,2nd at Townsend,89,114
2nd at Folsom,Market at Sansome,537,235
Redwood City Caltrain Station,7th at Market,1,0
7th at Market,7th at Market,127,127
"SF Caltrain, Townsend at 4th ",Spear at Folsom,346,318
5th at Howard,Clay at Battery,37,38
Market at Battery,Broadway St at Battery St,13,24
Powell at Post (Union Square),2nd at Folsom,79,50
Market at 10th,Golden Gate at Polk,34,50
3rd at Howard,2nd at South Park,116,126
Redwood City Medical Center,Franklin at Maple,1,1
SJSU - San Salvador at 9th,Santa Clara at Almaden,8,0
Post at Kearney,Powell at Post (Union Square),51,55
Redwood City Caltrain Station,Redwood City Public Library,75,9
San Francisco City Hall,Golden Gate at Polk,21,24
Golden Gate at Polk,Davis at Jackson,13,27
Spear at Folsom,Howard at Beale,66,101
